This_Semester,Height,Gender,Excited_Class,Play_Instrument,Instrument_Type,Fave_Food,Year,Pop_US,Pop_India,State_Country,Car,Haircut,Change,Siblings,Sleep,Prof_Age,Coop,Exercise,Politics,Major,Drink
N,71,M,9,N,,Last,1,200,2000,Washington,N,40,0,,6.5,,N,7,,,
N,70,M,5,N,,First,3,300,1400,India,N,10,200,,8,,N,5,,,
N,64,F,6,N,,Last,4,300,1000,California,N,0,100,,7.5,,Y,6,,,
N,70,M,8,N,,Depends,4,330,1.5,Ohio,N,0,160,,7,,N,4,,,
N,61.5,F,4,N,,First,3,700,2500,Alaska,Y,20,0,,10,,N,5,,,
N,62,F,6,Y,Piano,Last,3,312,2000,Ohio,Y,26,0,,7,,N,7,,,
N,57,F,6,Y,Piano,First,2,500,1000,NewJersey,N,0,0,,6,,Y,6,,,
N,62,F,6,Y,Voice,Last,3,50,70,California,N,33,87,,8,,N,0,,,
N,72,M,4,Y,Saxophone,First,3,1000,2000,Connecticut,N,17,0,,9,,N,6,,,
N,66,F,5,N,,Last,3,30,80,Nicaragua,N,0,500,,7.5,,Y,1,,,
N,69,M,4,Y,BassGuitar,Last,4,300,1100,Hawaii,N,25,0,,7.5,,Y,3,,,
N,76,M,8,Y,Percussion,First,2,100,,California,N,120,0,,8,,N,3,,,
N,73,M,8,N,,First,3,310,1000,Pennsylvania,N,15,0,,8.5,,N,8,,,
N,63,F,8,Y,Piano,First,2,7,6,California,N,16,272,,7.5,,N,2,,,
N,70,M,7,Y,Piano,Last,2,250,1300,Taiwan,N,2,59,,7,,N,6,,,
N,70,M,6,N,,Last,2,300,2000,Massachussetts,N,0,0,,8.5,,Y,5,,,
N,67,F,7,Y,Piano,Last,1,400,500,Minnesota,N,30,75,,6,,N,4,,,
N,66,M,5,Y,Harmonica,Last,3,320,1150,India,Y,20,0,,9,,N,5,,,
N,67,F,1,N,,Last,4,300,1000,Ohio,Y,10,25,,6.5,,Y,6,,,
N,70,M,4,Y,Guitar,First,4,350,1200,Pennsylvania,Y,12,36,,8.5,,N,0,,,
N,71,M,7,Y,Guitar,Throughout,3,305,1100,Pennsylvania,N,45,0,,7.5,,Y,6,,,
N,67,F,3,Y,Piano,Last,3,500,1000,Ohio,N,22,0,,7.5,,N,6,,,
N,59,Genderqueer,7,Y,Clarinet,Last,1,1000,75,Pennsylvania,N,15,0,,4,,N,2,,,
N,72,M,7,Y,Saxophone,Throughout,2,300,1000,NewYork,N,20,0,,8,,N,6,,,
N,73,M,7,Y,Voice,Last,2,350,1500,Maryland,N,30,0,,7,,N,4,,,
N,65,F,7,Y,Piano,Last,3,300,1000,Minnesota,N,16,200,,7,,Y,2,,,
N,74,M,4,Y,Guitar,Last,4,309,1300,Washington,N,28,0,,10,,N,4,,,
N,64,F,7,Y,Drums,Last,5,250,500,Ohio,Y,55,0,,7.5,,N,12,,,
N,72,M,7,Y,Guitar,Last,2,2000,3000,,N,10,0,,6,,N,2,,,
N,72,M,8,Y,Flute,Last,2,500,1000,,N,35,0,,7,,N,5,,,
N,65,F,6,N,,Last,2,8,1000,,N,0,7,,11,,Y,5,,,
N,68,F,,Y,Piano,,2,360,1000,,Y,16,85,,6,,Y,,,,
N,68,M,,Y,Cello,,2,320,1500,,Y,35,110,,8,,Y,,,,
N,70,M,,Y,Guitar,,4,310,1000,,N,45,0,,5,,Y,,,,
N,64,F,,Y,Piano,,3,50,100,,N,40,180,,10,,Y,,,,
N,64,F,,Y,Guitar,,3,6000,9000,,N,24,17,,9.5,,Y,,,,
N,68,Genderqueer,,Y,Tuba,,2,336,1256,,N,0,46,,7,,Y,,,,
N,67,F,,N,,,1,700,1000,,N,30,0,,8,,Y,,,,
N,70,M,,Y,Bass,,4,300,900,,Y,19,0,,8,,N,,,,
N,73,M,,Y,Violin,,2,650,900,,Y,17,0,,7,,N,,,,
N,74,M,,Y,Guitar,,4,300,700,,Y,20,25,,8,,N,,,,
N,72,M,,Y,Guitar,,4,350,1100,,Y,25,0,,6,,N,,,,
N,63,F,,Y,Piano,,4,325,1125,,Y,40,287,,7,,N,,,,
N,72,M,,N,,,2,300,1000,,Y,15,0,,8,,N,,,,
N,72,M,,N,,,2,300,,,Y,0,0,,8,,N,,,,
N,65,F,,N,,,2,500,300,,Y,40,0,,6.5,,N,,,,
N,66,F,,N,,,4,600,500,,Y,35,103,,5,,N,,,,
N,72,M,,Y,French Horn,,3,300,2000,,N,20,0,,7,,N,,,,
N,62,F,,Y,Flute,,4,600,1000,,N,60,125,,8,,N,,,,
N,71,M,,Y,Piano,,1,460,1000,,N,25,146,,8,,N,,,,
N,66,M,,Y,Percussion,,2,25,30,,N,18,700,,5,,N,,,,
N,65,F,,Y,Piano,,1,0.6,0.9,,N,35,43,,7,,N,,,,
N,66,F,,Y,Viola,,5,200,1000,,N,24,,,6,,N,,,,
N,73,M,,Y,Violin,,4,210,300,,N,75,0,,6.5,,N,,,,
N,64,F,,N,,,1,300,1000,,N,60,0,,7,,N,,,,
N,70,M,,N,,,4,350,700,,N,30,0,,7.5,,N,,,,
N,64,F,,N,,,1,300,400,,N,30,75,,7,,N,,,,
N,71,M,,N,,,2,350,600,,N,20,0,,7,,N,,,,
N,70,M,,N,,,3,400,1300,,N,30,0,,8.5,,N,,,,
N,63,F,,Y,Guitar,,2,363,600,,N,30,313,,8.8,,N,,,,
N,71,F,,Y,Clarinet,,2,6500,9000,,N,35,0,,7.5,,N,,,,
N,,F,,Y,Guitar,,1,7000,8000,,N,20,75,,8,,N,,,,
N,76,M,,Y,Piano,,1,315,1300,,N,0,0,,7,,N,,,,
N,62.992,F,,Y,Guzheng,,1,600,1000,,N,15,2,,8,,N,,,,
N,69,M,,Y,Piano,,3,200,1010,,N,17,0,,7,,N,,,,
N,66,M,,Y,Piano,,2,330,700,,N,0,0,,6.5,,N,,,,
N,66,F,,Y,Cello,,1,7,12,,N,12,0,,7,,N,,,,
N,66,M,,N,,,3,300,1200,,N,30,200,,6,,N,,,,
N,72,M,,N,,,4,315,900,,N,20,0,,6,,N,,,,
N,64,F,,N,,,4,,,,N,40,30,,5,,N,,,,
N,67,M,,N,,,2,350,1500,,N,15,0,,8,,N,,,,
